,School Name,Starting Median Salary,Mid-Career Median Salary
22,"University of California, Riverside (UCR)",46800.0,81300.0
20,"University of California, Santa Cruz (UCSC)",44700.0,84100.0
13,"University of California, Santa Barbara (UCSB)",50500.0,95000.0
11,"University of California, Irvine (UCI)",48300.0,96700.0
10,"University of California, Davis",52300.0,99600.0
11,"University of California, Irvine (UCI)",48300.0,96700.0
10,"University of California, Davis",52300.0,99600.0
6,University of California at Los Angeles (UCLA),52600.0,101000.0
7,"University of California, San Diego (UCSD)",51100.0,101000.0
3,"University of California, Berkeley",59900.0,112000.0
