C,School Name,Starting Median Salary,Mid-Career Median Salary
25,"California State University (CSU), Stanislaus",38000.0,71400.0
24,"California State University, Dominguez Hills (CSUDH)",42700.0,72100.0
23,"California State University, Northridge (CSUN)",45500.0,80400.0
21,"California State University, Sacramento (CSUS)",47800.0,82400.0
19,"California State University, East Bay (CSUEB)",49200.0,84300.0
21,"California State University, Sacramento (CSUS)",47800.0,82400.0
19,"California State University, East Bay (CSUEB)",49200.0,84300.0
18,"California State University, Long Beach (CSULB)",45100.0,84700.0
15,"California State University, Fullerton (CSUF)",45700.0,87000.0
14,"California State University (CSU), Chico",47400.0,88100.0
